,YEAR,MONTH,DAY,STID,TMIN (F)
66,2002,9,5,NRMN,70.05
67,2002,9,6,NRMN,71.04
68,2002,9,7,NRMN,71.49
69,2002,9,8,NRMN,68.36
70,2002,9,9,NRMN,68.58
71,2002,9,10,NRMN,66.02
72,2002,9,11,NRMN,65.77
73,2002,9,12,NRMN,65.14
74,2002,9,13,NRMN,70.45
75,2002,9,14,NRMN,65.16
76,2002,9,15,NRMN,62.92
77,2002,9,16,NRMN,58.44
78,2002,9,17,NRMN,64.18
79,2002,9,18,NRMN,68.47
80,2002,9,19,NRMN,56.5
81,2002,9,20,NRMN,53.06
82,2002,9,21,NRMN,58.62
83,2002,9,22,NRMN,55.71
84,2002,9,23,NRMN,50.65
85,2002,9,24,NRMN,52.66
86,2002,9,25,NRMN,49.73
87,2002,9,26,NRMN,56.12
88,2002,9,27,NRMN,57.81
89,2002,9,28,NRMN,63.32
90,2002,9,29,NRMN,65.39
91,2002,9,30,NRMN,68.93
92,2002,10,1,NRMN,70.48
93,2002,10,2,NRMN,71.35
94,2002,10,3,NRMN,68.7
95,2002,10,4,NRMN,50.65
96,2002,10,5,NRMN,44.7
97,2002,10,6,NRMN,59.38
98,2002,10,7,NRMN,50.43
99,2002,10,8,NRMN,53.44
100,2002,10,9,NRMN,53.47
101,2002,10,10,NRMN,56.01
102,2002,10,11,NRMN,54.03
103,2002,10,12,NRMN,52.95
104,2002,10,13,NRMN,38.57
105,2002,10,14,NRMN,37.73
106,2002,10,15,NRMN,37.66
107,2002,10,16,NRMN,39.94
108,2002,10,17,NRMN,36.8
109,2002,10,18,NRMN,56.14
110,2002,10,19,NRMN,48.65
111,2002,10,20,NRMN,45.51
112,2002,10,21,NRMN,47.79
113,2002,10,22,NRMN,55.0
114,2002,10,23,NRMN,45.88
115,2002,10,24,NRMN,40.85
116,2002,10,25,NRMN,39.54
117,2002,10,26,NRMN,40.48
118,2002,10,27,NRMN,46.96
119,2002,10,28,NRMN,49.73
120,2002,10,29,NRMN,46.94
121,2002,10,30,NRMN,40.67
122,2002,10,31,NRMN,39.82
123,2002,11,1,NRMN,38.96
124,2002,11,2,NRMN,37.33
125,2002,11,3,NRMN,34.83
126,2002,11,4,NRMN,30.62
127,2002,11,5,NRMN,40.14
128,2002,11,6,NRMN,32.23
129,2002,11,7,NRMN,41.41
130,2002,11,8,NRMN,49.42
131,2002,11,9,NRMN,58.59
132,2002,11,10,NRMN,40.68
133,2002,11,11,NRMN,36.42
134,2002,11,12,NRMN,37.08
135,2002,11,13,NRMN,36.94
136,2002,11,14,NRMN,45.91
137,2002,11,15,NRMN,35.41
138,2002,11,16,NRMN,31.11
139,2002,11,17,NRMN,37.7
140,2002,11,18,NRMN,39.01
141,2002,11,19,NRMN,31.07
142,2002,11,20,NRMN,36.03
143,2002,11,21,NRMN,38.82
144,2002,11,22,NRMN,31.66
145,2002,11,23,NRMN,42.51
146,2002,11,24,NRMN,36.6
147,2002,11,25,NRMN,28.56
148,2002,11,26,NRMN,25.89
149,2002,11,27,NRMN,19.15
150,2002,11,28,NRMN,26.67
151,2002,11,29,NRMN,38.47
152,2002,11,30,NRMN,28.91
153,2002,12,1,NRMN,23.98
154,2002,12,2,NRMN,42.01
155,2002,12,3,NRMN,32.23
156,2002,12,4,NRMN,28.42
157,2002,12,5,NRMN,22.25
158,2002,12,6,NRMN,20.95
159,2002,12,7,NRMN,34.59
160,2002,12,8,NRMN,36.43
161,2002,12,9,NRMN,39.63
162,2002,12,10,NRMN,41.12
163,2002,12,11,NRMN,40.0
164,2002,12,12,NRMN,41.54
165,2002,12,13,NRMN,31.45
166,2002,12,14,NRMN,31.41
167,2002,12,15,NRMN,36.81
168,2002,12,16,NRMN,41.67
169,2002,12,17,NRMN,43.3
170,2002,12,18,NRMN,41.94
171,2002,12,19,NRMN,32.05
172,2002,12,20,NRMN,27.05
173,2002,12,21,NRMN,28.0
174,2002,12,22,NRMN,23.4
175,2002,12,23,NRMN,30.1
176,2002,12,24,NRMN,19.74
177,2002,12,25,NRMN,16.32
178,2002,12,26,NRMN,28.97
179,2002,12,27,NRMN,24.73
180,2002,12,28,NRMN,29.6
181,2002,12,29,NRMN,44.32
182,2002,12,30,NRMN,43.51
183,2002,12,31,NRMN,27.92
184,2003,1,1,NRMN,26.23
185,2003,1,2,NRMN,26.3
186,2003,1,3,NRMN,22.78
187,2003,1,4,NRMN,35.0
188,2003,1,5,NRMN,29.73
189,2003,1,6,NRMN,25.91
190,2003,1,7,NRMN,24.76
191,2003,1,8,NRMN,30.94
192,2003,1,9,NRMN,35.08
193,2003,1,10,NRMN,25.59
194,2003,1,11,NRMN,23.68
195,2003,1,12,NRMN,34.74
196,2003,1,13,NRMN,34.3
197,2003,1,14,NRMN,30.32
198,2003,1,15,NRMN,26.83
199,2003,1,16,NRMN,18.92
200,2003,1,17,NRMN,14.61
201,2003,1,18,NRMN,25.17
202,2003,1,19,NRMN,23.53
203,2003,1,20,NRMN,36.1
204,2003,1,21,NRMN,28.53
205,2003,1,22,NRMN,16.97
206,2003,1,23,NRMN,11.16
207,2003,1,24,NRMN,11.62
208,2003,1,25,NRMN,26.1
209,2003,1,26,NRMN,22.77
210,2003,1,27,NRMN,21.18
211,2003,1,28,NRMN,41.57
212,2003,1,29,NRMN,26.95
213,2003,1,30,NRMN,21.62
214,2003,1,31,NRMN,35.86
215,2003,2,1,NRMN,35.2
216,2003,2,2,NRMN,48.65
217,2003,2,3,NRMN,31.28
218,2003,2,4,NRMN,20.08
219,2003,2,5,NRMN,28.91
220,2003,2,6,NRMN,22.36
221,2003,2,7,NRMN,13.8
222,2003,2,8,NRMN,21.19
223,2003,2,9,NRMN,32.03
224,2003,2,10,NRMN,25.41
225,2003,2,11,NRMN,28.13
226,2003,2,12,NRMN,28.03
227,2003,2,13,NRMN,48.88
228,2003,2,14,NRMN,51.8
229,2003,2,15,NRMN,28.61
230,2003,2,16,NRMN,24.46
231,2003,2,17,NRMN,20.0
232,2003,2,18,NRMN,37.35
233,2003,2,19,NRMN,35.29
234,2003,2,20,NRMN,31.48
235,2003,2,21,NRMN,42.96
236,2003,2,22,NRMN,35.61
237,2003,2,23,NRMN,16.29
238,2003,2,24,NRMN,11.01
239,2003,2,25,NRMN,12.33
240,2003,2,26,NRMN,22.53
241,2003,2,27,NRMN,26.73
242,2003,2,28,NRMN,21.78
243,2003,3,1,NRMN,33.08
244,2003,3,2,NRMN,25.55
245,2003,3,3,NRMN,22.58
246,2003,3,4,NRMN,25.54
247,2003,3,5,NRMN,21.27
248,2003,3,6,NRMN,16.79
249,2003,3,7,NRMN,33.16
250,2003,3,8,NRMN,35.2
251,2003,3,9,NRMN,24.36
252,2003,3,10,NRMN,23.98
253,2003,3,11,NRMN,37.34
254,2003,3,12,NRMN,57.9
255,2003,3,13,NRMN,46.74
256,2003,3,14,NRMN,35.29
257,2003,3,15,NRMN,48.25
258,2003,3,16,NRMN,59.67
259,2003,3,17,NRMN,57.4
260,2003,3,18,NRMN,50.85
261,2003,3,19,NRMN,46.83
262,2003,3,20,NRMN,45.31
263,2003,3,21,NRMN,43.75
264,2003,3,22,NRMN,38.32
265,2003,3,23,NRMN,43.27
266,2003,3,24,NRMN,55.06
267,2003,3,25,NRMN,41.8
268,2003,3,26,NRMN,36.23
269,2003,3,27,NRMN,40.01
270,2003,3,28,NRMN,33.99
271,2003,3,29,NRMN,31.44
272,2003,3,30,NRMN,27.93
273,2003,3,31,NRMN,41.62
274,2003,4,1,NRMN,55.72
275,2003,4,2,NRMN,55.53
276,2003,4,3,NRMN,61.09
277,2003,4,4,NRMN,49.8
278,2003,4,5,NRMN,40.04
279,2003,4,6,NRMN,47.19
280,2003,4,7,NRMN,36.76
281,2003,4,8,NRMN,31.98
282,2003,4,9,NRMN,28.21
283,2003,4,10,NRMN,37.53
284,2003,4,11,NRMN,49.53
285,2003,4,12,NRMN,42.71
286,2003,4,13,NRMN,59.02
287,2003,4,14,NRMN,61.12
288,2003,4,15,NRMN,57.56
289,2003,4,16,NRMN,50.34
290,2003,4,17,NRMN,46.71
291,2003,4,18,NRMN,54.23
292,2003,4,19,NRMN,51.3
293,2003,4,20,NRMN,45.17
294,2003,4,21,NRMN,45.76
295,2003,4,22,NRMN,49.21
296,2003,4,23,NRMN,52.29
297,2003,4,24,NRMN,54.25
298,2003,4,25,NRMN,49.57
299,2003,4,26,NRMN,45.29
300,2003,4,27,NRMN,59.22
301,2003,4,28,NRMN,62.04
302,2003,4,29,NRMN,61.59
303,2003,4,30,NRMN,63.07
304,2003,5,1,NRMN,57.52
305,2003,5,2,NRMN,56.32
306,2003,5,3,NRMN,55.83
307,2003,5,4,NRMN,61.02
308,2003,5,5,NRMN,49.73
309,2003,5,6,NRMN,61.43
310,2003,5,7,NRMN,51.75
311,2003,5,8,NRMN,71.08
312,2003,5,9,NRMN,70.68
313,2003,5,10,NRMN,60.04
314,2003,5,11,NRMN,47.37
315,2003,5,12,NRMN,46.89
316,2003,5,13,NRMN,64.65
317,2003,5,14,NRMN,66.52
318,2003,5,15,NRMN,63.27
319,2003,5,16,NRMN,60.6
320,2003,5,17,NRMN,59.09
321,2003,5,18,NRMN,54.39
322,2003,5,19,NRMN,58.46
323,2003,5,20,NRMN,53.92
324,2003,5,21,NRMN,53.1
325,2003,5,22,NRMN,61.0
326,2003,5,23,NRMN,56.44
327,2003,5,24,NRMN,63.95
328,2003,5,25,NRMN,55.96
329,2003,5,26,NRMN,51.8
330,2003,5,27,NRMN,51.53
331,2003,5,28,NRMN,53.02
332,2003,5,29,NRMN,59.7
333,2003,5,30,NRMN,72.21
334,2003,5,31,NRMN,63.81
335,2003,6,1,NRMN,60.33
336,2003,6,2,NRMN,66.06
337,2003,6,3,NRMN,62.8
338,2003,6,4,NRMN,59.79
339,2003,6,5,NRMN,60.48
340,2003,6,6,NRMN,58.8
341,2003,6,7,NRMN,54.07
342,2003,6,8,NRMN,56.17
343,2003,6,9,NRMN,62.15
344,2003,6,10,NRMN,64.47
345,2003,6,11,NRMN,63.39
346,2003,6,12,NRMN,64.99
347,2003,6,13,NRMN,66.45
348,2003,6,14,NRMN,66.36
349,2003,6,15,NRMN,62.35
350,2003,6,16,NRMN,64.92
351,2003,6,17,NRMN,63.79
352,2003,6,18,NRMN,61.48
353,2003,6,19,NRMN,62.58
354,2003,6,20,NRMN,65.35
355,2003,6,21,NRMN,65.41
356,2003,6,22,NRMN,73.36
357,2003,6,23,NRMN,76.48
358,2003,6,24,NRMN,77.72
359,2003,6,25,NRMN,70.07
360,2003,6,26,NRMN,57.61
361,2003,6,27,NRMN,53.89
362,2003,6,28,NRMN,60.28
363,2003,6,29,NRMN,66.81
364,2003,6,30,NRMN,68.7
365,2003,7,1,NRMN,70.25
366,2003,7,2,NRMN,72.0
367,2003,7,3,NRMN,72.32
368,2003,7,4,NRMN,73.11
369,2003,7,5,NRMN,72.05
370,2003,7,6,NRMN,70.57
371,2003,7,7,NRMN,73.63
372,2003,7,8,NRMN,72.99
373,2003,7,9,NRMN,72.48
374,2003,7,10,NRMN,73.24
375,2003,7,11,NRMN,67.6
376,2003,7,12,NRMN,76.32
377,2003,7,13,NRMN,76.24
378,2003,7,14,NRMN,75.72
379,2003,7,15,NRMN,76.71
380,2003,7,16,NRMN,72.16
381,2003,7,17,NRMN,73.71
382,2003,7,18,NRMN,74.93
383,2003,7,19,NRMN,77.13
384,2003,7,20,NRMN,79.5
385,2003,7,21,NRMN,82.47
386,2003,7,22,NRMN,73.26
387,2003,7,23,NRMN,67.39
388,2003,7,24,NRMN,63.79
389,2003,7,25,NRMN,73.17
390,2003,7,26,NRMN,76.03
391,2003,7,27,NRMN,74.55
392,2003,7,28,NRMN,74.53
393,2003,7,29,NRMN,72.16
394,2003,7,30,NRMN,65.55
395,2003,7,31,NRMN,68.18
396,2003,8,1,NRMN,73.92
397,2003,8,2,NRMN,71.22
398,2003,8,3,NRMN,72.82
399,2003,8,4,NRMN,71.83
400,2003,8,5,NRMN,77.76
401,2003,8,6,NRMN,72.55
402,2003,8,7,NRMN,75.11
403,2003,8,8,NRMN,75.16
404,2003,8,9,NRMN,70.77
405,2003,8,10,NRMN,69.87
406,2003,8,11,NRMN,68.86
407,2003,8,12,NRMN,65.48
408,2003,8,13,NRMN,66.76
409,2003,8,14,NRMN,66.2
410,2003,8,15,NRMN,69.62
411,2003,8,16,NRMN,69.58
412,2003,8,17,NRMN,71.89
413,2003,8,18,NRMN,75.7
414,2003,8,19,NRMN,77.34
415,2003,8,20,NRMN,77.0
416,2003,8,21,NRMN,75.7
417,2003,8,22,NRMN,75.22
418,2003,8,23,NRMN,74.17
419,2003,8,24,NRMN,72.0
420,2003,8,25,NRMN,72.17
421,2003,8,26,NRMN,72.45
422,2003,8,27,NRMN,71.17
423,2003,8,28,NRMN,74.21
424,2003,8,29,NRMN,73.6
425,2003,8,30,NRMN,69.8
426,2003,8,31,NRMN,68.49
427,2003,9,1,NRMN,66.2
428,2003,9,2,NRMN,66.24
429,2003,9,3,NRMN,68.25
430,2003,9,4,NRMN,63.25
431,2003,9,5,NRMN,62.22
432,2003,9,6,NRMN,58.41
433,2003,9,7,NRMN,55.17
434,2003,9,8,NRMN,63.82
435,2003,9,9,NRMN,68.97
436,2003,9,10,NRMN,69.28
437,2003,9,11,NRMN,64.72
438,2003,9,12,NRMN,60.58
439,2003,9,13,NRMN,57.24
440,2003,9,14,NRMN,55.94
441,2003,9,15,NRMN,51.31
442,2003,9,16,NRMN,64.58
443,2003,9,17,NRMN,68.16
444,2003,9,18,NRMN,58.46
445,2003,9,19,NRMN,50.45
446,2003,9,20,NRMN,45.44
447,2003,9,21,NRMN,60.37
448,2003,9,22,NRMN,55.36
449,2003,9,23,NRMN,63.63
450,2003,9,24,NRMN,63.68
451,2003,9,25,NRMN,64.04
452,2003,9,26,NRMN,64.74
453,2003,9,27,NRMN,55.06
454,2003,9,28,NRMN,48.96
455,2003,9,29,NRMN,52.02
456,2003,9,30,NRMN,52.95
457,2003,10,1,NRMN,46.65
458,2003,10,2,NRMN,53.26
459,2003,10,3,NRMN,54.73
460,2003,10,4,NRMN,56.62
461,2003,10,5,NRMN,54.95
462,2003,10,6,NRMN,59.68
463,2003,10,7,NRMN,56.53
464,2003,10,8,NRMN,62.22
465,2003,10,9,NRMN,63.52
466,2003,10,10,NRMN,62.35
467,2003,10,11,NRMN,61.93
468,2003,10,12,NRMN,49.68
469,2003,10,13,NRMN,57.2
470,2003,10,14,NRMN,45.82
471,2003,10,15,NRMN,43.33
472,2003,10,16,NRMN,54.61
473,2003,10,17,NRMN,47.19
474,2003,10,18,NRMN,46.76
475,2003,10,19,NRMN,54.09
476,2003,10,20,NRMN,57.74
477,2003,10,21,NRMN,52.43
478,2003,10,22,NRMN,53.19
479,2003,10,23,NRMN,51.75
480,2003,10,24,NRMN,61.18
481,2003,10,25,NRMN,43.97
482,2003,10,26,NRMN,35.96
483,2003,10,27,NRMN,39.4
484,2003,10,28,NRMN,42.01
485,2003,10,29,NRMN,39.1
486,2003,10,30,NRMN,53.49
487,2003,10,31,NRMN,46.14
488,2003,11,1,NRMN,47.64
489,2003,11,2,NRMN,64.09
490,2003,11,3,NRMN,69.31
491,2003,11,4,NRMN,43.58
492,2003,11,5,NRMN,39.77
493,2003,11,6,NRMN,34.45
494,2003,11,7,NRMN,35.28
495,2003,11,8,NRMN,42.77
496,2003,11,9,NRMN,42.02
497,2003,11,10,NRMN,48.2
498,2003,11,11,NRMN,61.12
499,2003,11,12,NRMN,50.13
500,2003,11,13,NRMN,40.54
501,2003,11,14,NRMN,40.14
502,2003,11,15,NRMN,39.27
503,2003,11,16,NRMN,39.52
504,2003,11,17,NRMN,57.45
505,2003,11,18,NRMN,39.43
506,2003,11,19,NRMN,34.78
507,2003,11,20,NRMN,42.26
508,2003,11,21,NRMN,42.98
509,2003,11,22,NRMN,45.6
510,2003,11,23,NRMN,24.26
511,2003,11,24,NRMN,16.81
512,2003,11,25,NRMN,32.46
513,2003,11,26,NRMN,39.24
514,2003,11,27,NRMN,29.64
515,2003,11,28,NRMN,25.04
516,2003,11,29,NRMN,33.15
517,2003,11,30,NRMN,40.42
518,2003,12,1,NRMN,37.47
519,2003,12,2,NRMN,42.43
520,2003,12,3,NRMN,29.79
521,2003,12,4,NRMN,25.23
522,2003,12,5,NRMN,27.1
523,2003,12,6,NRMN,18.33
524,2003,12,7,NRMN,34.75
525,2003,12,8,NRMN,48.94
526,2003,12,9,NRMN,30.88
527,2003,12,10,NRMN,21.35
528,2003,12,11,NRMN,21.65
529,2003,12,12,NRMN,23.23
530,2003,12,13,NRMN,26.98
531,2003,12,14,NRMN,25.85
532,2003,12,15,NRMN,38.6
533,2003,12,16,NRMN,25.56
534,2003,12,17,NRMN,24.17
535,2003,12,18,NRMN,31.73
536,2003,12,19,NRMN,26.66
537,2003,12,20,NRMN,29.16
538,2003,12,21,NRMN,43.35
539,2003,12,22,NRMN,40.52
540,2003,12,23,NRMN,29.48
541,2003,12,24,NRMN,23.72
542,2003,12,25,NRMN,37.13
543,2003,12,26,NRMN,43.23
544,2003,12,27,NRMN,51.46
545,2003,12,28,NRMN,30.66
546,2003,12,29,NRMN,24.79
547,2003,12,30,NRMN,34.13
548,2003,12,31,NRMN,40.57
549,2004,1,1,NRMN,50.2
550,2004,1,2,NRMN,54.0
551,2004,1,3,NRMN,49.17
552,2004,1,4,NRMN,23.87
553,2004,1,5,NRMN,17.35
554,2004,1,6,NRMN,6.78
555,2004,1,7,NRMN,17.24
556,2004,1,8,NRMN,30.73
557,2004,1,9,NRMN,25.08
558,2004,1,10,NRMN,19.56
559,2004,1,11,NRMN,36.16
560,2004,1,12,NRMN,42.08
561,2004,1,13,NRMN,46.62
562,2004,1,14,NRMN,39.15
563,2004,1,15,NRMN,34.76
564,2004,1,16,NRMN,47.08
565,2004,1,17,NRMN,38.13
566,2004,1,18,NRMN,28.25
567,2004,1,19,NRMN,18.08
568,2004,1,20,NRMN,22.33
569,2004,1,21,NRMN,31.18
570,2004,1,22,NRMN,27.6
571,2004,1,23,NRMN,23.56
572,2004,1,24,NRMN,45.76
573,2004,1,25,NRMN,42.76
574,2004,1,26,NRMN,17.58
575,2004,1,27,NRMN,14.14
576,2004,1,28,NRMN,25.17
577,2004,1,29,NRMN,18.96
578,2004,1,30,NRMN,11.41
579,2004,1,31,NRMN,23.69
580,2004,2,1,NRMN,27.37
581,2004,2,2,NRMN,21.79
582,2004,2,3,NRMN,23.48
583,2004,2,4,NRMN,32.02
584,2004,2,5,NRMN,32.04
585,2004,2,6,NRMN,21.33
586,2004,2,7,NRMN,16.7
587,2004,2,8,NRMN,25.26
588,2004,2,9,NRMN,26.03
589,2004,2,10,NRMN,21.0
590,2004,2,11,NRMN,30.11
591,2004,2,12,NRMN,18.42
592,2004,2,13,NRMN,14.18
593,2004,2,14,NRMN,26.81
594,2004,2,15,NRMN,24.95
595,2004,2,16,NRMN,24.73
596,2004,2,17,NRMN,25.28
597,2004,2,18,NRMN,34.93
598,2004,2,19,NRMN,49.24
599,2004,2,20,NRMN,33.96
600,2004,2,21,NRMN,28.93
601,2004,2,22,NRMN,41.59
602,2004,2,23,NRMN,44.55
603,2004,2,24,NRMN,35.31
604,2004,2,25,NRMN,27.83
605,2004,2,26,NRMN,26.73
606,2004,2,27,NRMN,32.38
607,2004,2,28,NRMN,44.19
608,2004,2,29,NRMN,47.28
609,2004,3,1,NRMN,39.23
610,2004,3,2,NRMN,34.71
611,2004,3,3,NRMN,44.71
612,2004,3,4,NRMN,48.65
613,2004,3,5,NRMN,40.85
614,2004,3,6,NRMN,34.79
615,2004,3,7,NRMN,38.08
616,2004,3,8,NRMN,34.73
617,2004,3,9,NRMN,37.72
618,2004,3,10,NRMN,37.96
619,2004,3,11,NRMN,41.09
620,2004,3,12,NRMN,45.6
621,2004,3,13,NRMN,44.57
622,2004,3,14,NRMN,46.16
623,2004,3,15,NRMN,46.33
624,2004,3,16,NRMN,35.64
625,2004,3,17,NRMN,39.04
626,2004,3,18,NRMN,45.33
627,2004,3,19,NRMN,56.84
628,2004,3,20,NRMN,56.14
629,2004,3,21,NRMN,46.51
630,2004,3,22,NRMN,39.55
631,2004,3,23,NRMN,47.95
632,2004,3,24,NRMN,60.1
633,2004,3,25,NRMN,61.79
634,2004,3,26,NRMN,65.7
635,2004,3,27,NRMN,61.47
636,2004,3,28,NRMN,46.2
637,2004,3,29,NRMN,40.72
638,2004,3,30,NRMN,38.62
639,2004,3,31,NRMN,35.79
640,2004,4,1,NRMN,40.37
641,2004,4,2,NRMN,46.99
642,2004,4,3,NRMN,44.52
643,2004,4,4,NRMN,43.71
644,2004,4,5,NRMN,50.9
645,2004,4,6,NRMN,53.02
646,2004,4,7,NRMN,51.08
647,2004,4,8,NRMN,47.97
648,2004,4,9,NRMN,52.11
649,2004,4,10,NRMN,44.01
650,2004,4,11,NRMN,36.98
651,2004,4,12,NRMN,41.45
652,2004,4,13,NRMN,32.99
653,2004,4,14,NRMN,36.25
654,2004,4,15,NRMN,53.22
655,2004,4,16,NRMN,60.8
656,2004,4,17,NRMN,60.22
657,2004,4,18,NRMN,64.4
658,2004,4,19,NRMN,63.32
659,2004,4,20,NRMN,62.4
660,2004,4,21,NRMN,52.21
661,2004,4,22,NRMN,60.69
662,2004,4,23,NRMN,56.79
663,2004,4,24,NRMN,52.41
664,2004,4,25,NRMN,44.38
665,2004,4,26,NRMN,50.56
666,2004,4,27,NRMN,43.99
667,2004,4,28,NRMN,57.34
668,2004,4,29,NRMN,57.4
669,2004,4,30,NRMN,48.38
670,2004,5,1,NRMN,45.06
671,2004,5,2,NRMN,39.31
672,2004,5,3,NRMN,41.29
673,2004,5,4,NRMN,56.98
674,2004,5,5,NRMN,57.58
675,2004,5,6,NRMN,60.37
676,2004,5,7,NRMN,63.25
677,2004,5,8,NRMN,62.13
678,2004,5,9,NRMN,62.56
679,2004,5,10,NRMN,64.76
680,2004,5,11,NRMN,67.19
681,2004,5,12,NRMN,66.92
682,2004,5,13,NRMN,47.41
683,2004,5,14,NRMN,45.73
684,2004,5,15,NRMN,41.85
685,2004,5,16,NRMN,54.19
686,2004,5,17,NRMN,64.36
687,2004,5,18,NRMN,68.88
688,2004,5,19,NRMN,69.85
689,2004,5,20,NRMN,70.77
690,2004,5,21,NRMN,69.91
691,2004,5,22,NRMN,70.23
692,2004,5,23,NRMN,71.87
693,2004,5,24,NRMN,71.29
694,2004,5,25,NRMN,65.03
695,2004,5,26,NRMN,64.47
696,2004,5,27,NRMN,65.79
697,2004,5,28,NRMN,62.24
698,2004,5,29,NRMN,69.3
699,2004,5,30,NRMN,61.14
700,2004,5,31,NRMN,50.76
701,2004,6,1,NRMN,58.05
702,2004,6,2,NRMN,60.84
703,2004,6,3,NRMN,59.92
704,2004,6,4,NRMN,63.68
705,2004,6,5,NRMN,64.09
706,2004,6,6,NRMN,67.06
707,2004,6,7,NRMN,68.04
708,2004,6,8,NRMN,69.4
709,2004,6,9,NRMN,68.18
710,2004,6,10,NRMN,68.49
711,2004,6,11,NRMN,72.9
712,2004,6,12,NRMN,71.56
713,2004,6,13,NRMN,67.39
714,2004,6,14,NRMN,72.9
715,2004,6,15,NRMN,68.99
716,2004,6,16,NRMN,70.43
717,2004,6,17,NRMN,68.56
718,2004,6,18,NRMN,69.35
719,2004,6,19,NRMN,66.16
720,2004,6,20,NRMN,63.68
721,2004,6,21,NRMN,64.24
722,2004,6,22,NRMN,60.96
723,2004,6,23,NRMN,55.85
724,2004,6,24,NRMN,56.79
725,2004,6,25,NRMN,65.7
726,2004,6,26,NRMN,63.5
727,2004,6,27,NRMN,65.07
728,2004,6,28,NRMN,64.69
729,2004,6,29,NRMN,69.28
730,2004,6,30,NRMN,68.79
731,2004,7,1,NRMN,64.87
732,2004,7,2,NRMN,73.2
733,2004,7,3,NRMN,70.9
734,2004,7,4,NRMN,74.89
735,2004,7,5,NRMN,75.22
736,2004,7,6,NRMN,65.17
737,2004,7,7,NRMN,65.73
738,2004,7,8,NRMN,73.74
739,2004,7,9,NRMN,70.41
740,2004,7,10,NRMN,70.45
741,2004,7,11,NRMN,72.03
742,2004,7,12,NRMN,72.45
743,2004,7,13,NRMN,73.4
744,2004,7,14,NRMN,71.73
745,2004,7,15,NRMN,74.05
746,2004,7,16,NRMN,74.66
747,2004,7,17,NRMN,69.19
748,2004,7,18,NRMN,65.73
749,2004,7,19,NRMN,68.05
750,2004,7,20,NRMN,72.45
751,2004,7,21,NRMN,72.66
752,2004,7,22,NRMN,71.8
753,2004,7,23,NRMN,72.86
754,2004,7,24,NRMN,64.76
755,2004,7,25,NRMN,61.65
756,2004,7,26,NRMN,60.73
757,2004,7,27,NRMN,61.12
758,2004,7,28,NRMN,66.65
759,2004,7,29,NRMN,67.01
760,2004,7,30,NRMN,67.06
761,2004,7,31,NRMN,66.15
762,2004,8,1,NRMN,70.0
763,2004,8,2,NRMN,73.18
764,2004,8,3,NRMN,74.5
765,2004,8,4,NRMN,74.35
766,2004,8,5,NRMN,67.95
767,2004,8,6,NRMN,63.18
768,2004,8,7,NRMN,68.11
769,2004,8,8,NRMN,66.09
770,2004,8,9,NRMN,65.77
771,2004,8,10,NRMN,67.95
772,2004,8,11,NRMN,61.45
773,2004,8,12,NRMN,58.06
