Year        Month      SPMM Index (std)
1983            6        -1.026
1983            7        -1.483
1983            8        -0.214
1983            9        -0.386
1983           10        -0.054
1983           11        -0.003
1983           12         1.576
1984            1         1.850
1984            2        -0.355
1984            3        -0.101
1984            4         0.448
1984            5        -0.811
1984            6        -0.574
1984            7        -0.108
1984            8        -0.997
1984            9         1.589
1984           10         1.640
1984           11        -0.730
1984           12        -1.312
1985            1         1.218
1985            2        -0.890
1985            3        -0.761
1985            4        -1.537
1985            5         0.035
1985            6         1.452
1985            7         0.498
1985            8        -1.291
1985            9        -0.249
1985           10         1.539
1985           11         0.246
1985           12        -0.021
1986            1        -0.442
1986            2         0.755
1986            3        -0.746
1986            4         0.248
1986            5         0.984
1986            6        -0.103
1986            7         1.875
1986            8         0.230
1986            9         0.677
1986           10         1.830
1986           11        -0.144
1986           12        -1.503
1987            1        -0.967
1987            2         0.906
1987            3         1.762
1987            4        -1.204
1987            5        -1.337
1987            6         0.286
1987            7         2.517
1987            8         0.593
1987            9         1.478
1987           10         0.102
1987           11        -0.092
1987           12        -0.949
1988            1        -0.180
1988            2         0.001
1988            3        -0.058
1988            4        -0.006
1988            5        -0.185
1988            6        -0.454
1988            7        -0.050
1988            8         0.039
1988            9        -1.631
1988           10        -0.663
1988           11         0.301
1988           12         0.738
1989            1         0.170
1989            2         1.598
1989            3         0.139
1989            4         0.165
1989            5         0.189
1989            6         0.061
1989            7         0.381
1989            8         0.273
1989            9        -0.672
1989           10        -1.439
1989           11         0.341
1989           12         1.413
1990            1        -0.709
1990            2         0.950
1990            3        -0.694
1990            4         1.264
1990            5        -0.954
1990            6         0.322
1990            7        -0.016
1990            8         0.793
1990            9         0.345
1990           10        -1.310
1990           11        -1.472
1990           12         0.271
1991            1         0.390
1991            2        -0.771
1991            3         1.681
1991            4         0.494
1991            5         2.121
1991            6         1.620
1991            7        -0.715
1991            8        -1.860
1991            9         0.550
1991           10         0.057
1991           11         0.763
1991           12         1.068
1992            1         0.126
1992            2        -0.033
1992            3         1.697
1992            4         0.276
1992            5         0.220
1992            6        -0.154
1992            7        -0.922
1992            8         0.474
1992            9         0.136
1992           10        -0.890
1992           11         2.853
1992           12         1.180
1993            1         2.320
1993            2         1.328
1993            3         2.274
1993            4         1.484
1993            5        -0.343
1993            6        -0.086
1993            7        -0.700
1993            8         0.947
1993            9         0.543
1993           10         1.666
1993           11        -0.249
1993           12        -0.088
1994            1         0.730
1994            2        -1.249
1994            3         2.183
1994            4         1.332
1994            5         0.838
1994            6         0.404
1994            7         0.054
1994            8        -1.621
1994            9         2.722
1994           10         0.920
1994           11        -0.708
1994           12         0.138
1995            1        -0.198
1995            2         0.377
1995            3         0.024
1995            4        -0.187
1995            5         0.054
1995            6         1.298
1995            7        -0.011
1995            8         0.013
1995            9        -0.105
1995           10         0.825
1995           11        -0.429
1995           12         1.636
1996            1        -0.660
1996            2        -0.862
1996            3        -0.815
1996            4        -1.276
1996            5         0.262
1996            6         0.313
1996            7         0.810
1996            8         0.363
1996            9        -0.859
1996           10        -0.626
1996           11         1.613
1996           12        -0.792
1997            1        -0.501
1997            2        -0.914
1997            3         0.631
1997            4         1.995
1997            5         1.185
1997            6         0.246
1997            7         0.852
1997            8         1.472
1997            9         0.173
1997           10        -0.923
1997           11         0.295
1997           12        -1.578
1998            1        -1.633
1998            2         0.306
1998            3        -0.771
1998            4        -0.336
1998            5         1.124
1998            6        -0.930
1998            7        -1.132
1998            8        -1.475
1998            9         0.371
1998           10        -0.279
1998           11        -0.264
1998           12        -0.088
1999            1        -0.235
1999            2         0.449
1999            3        -0.589
1999            4         0.878
1999            5         0.217
1999            6         0.547
1999            7        -0.427
1999            8         2.377
1999            9         0.112
1999           10        -0.197
1999           11         0.614
1999           12         1.583
2000            1         1.322
2000            2         1.011
2000            3        -0.856
2000            4        -0.814
2000            5        -0.579
2000            6         0.066
2000            7        -1.233
2000            8         0.375
2000            9         0.729
2000           10         1.516
2000           11         1.202
2000           12         0.722
2001            1         0.394
2001            2        -1.009
2001            3         0.021
2001            4        -1.490
2001            5        -1.169
2001            6        -1.932
2001            7         1.235
2001            8        -0.296
2001            9        -0.970
2001           10        -0.090
2001           11        -1.771
2001           12        -0.557
2002            1        -0.131
2002            2         0.707
2002            3        -0.050
2002            4        -1.875
2002            5         0.546
2002            6        -1.166
2002            7        -0.053
2002            8         0.555
2002            9        -0.562
2002           10         0.352
2002           11        -0.552
2002           12        -0.743
2003            1        -0.862
2003            2        -1.552
2003            3         0.309
2003            4        -0.127
2003            5        -0.723
2003            6         1.007
2003            7        -1.321
2003            8         0.914
2003            9        -0.050
2003           10         0.618
2003           11         1.516
2003           12        -1.978
2004            1        -0.116
2004            2         0.130
2004            3         0.070
2004            4        -1.064
2004            5        -0.561
2004            6        -0.811
2004            7         0.183
2004            8         0.496
2004            9         0.740
2004           10        -1.709
2004           11         0.497
2004           12         0.072
2005            1        -1.286
2005            2         0.050
2005            3         0.174
2005            4         0.362
2005            5        -0.930
2005            6         1.963
2005            7         0.026
2005            8         0.853
2005            9        -1.363
2005           10        -1.491
2005           11         1.090
2005           12         1.276
2006            1         0.267
2006            2         1.445
2006            3        -1.043
2006            4        -0.345
2006            5         1.211
2006            6         1.159
2006            7         0.937
2006            8        -0.407
2006            9        -0.110
2006           10        -0.631
2006           11        -0.805
2006           12         0.247
2007            1        -0.467
2007            2         0.104
2007            3        -1.470
2007            4        -0.150
2007            5        -1.715
2007            6        -1.120
2007            7        -0.962
2007            8        -2.467
2007            9        -1.409
2007           10         0.475
2007           11        -0.807
2007           12        -0.457
2008            1         0.414
2008            2         1.886
2008            3        -0.113
2008            4         0.385
2008            5         1.499
2008            6        -1.002
2008            7         1.476
2008            8        -0.297
2008            9        -1.015
2008           10        -0.801
2008           11        -0.893
2008           12         0.550
2009            1         0.460
2009            2        -0.212
2009            3        -0.442
2009            4         0.162
2009            5        -0.106
2009            6         1.321
2009            7        -0.450
2009            8        -0.256
2009            9        -2.062
2009           10        -0.023
2009           11         0.212
2009           12        -0.647
2010            1        -2.500
2010            2        -1.944
2010            3        -1.142
2010            4        -1.168
2010            5        -1.717
2010            6        -1.917
2010            7        -1.850
2010            8         0.020
2010            9        -0.056
2010           10        -1.169
2010           11         0.049
2010           12        -0.672
2011            1        -0.650
2011            2         0.000
2011            3        -0.768
2011            4        -0.767
2011            5        -1.267
2011            6        -1.661
2011            7        -0.892
2011            8         0.087
2011            9         0.832
2011           10        -1.557
2011           11         0.948
2011           12         0.320
2012            1         1.295
2012            2         2.956
2012            3        -0.594
2012            4        -1.516
2012            5         0.920
2012            6         0.005
2012            7        -1.839
2012            8        -0.551
2012            9        -1.136
2012           10        -0.462
2012           11         0.978
2012           12        -0.726
2013            1        -0.115
2013            2         0.603
2013            3        -0.452
2013            4         0.714
2013            5        -0.739
2013            6        -1.586
2013            7        -1.549
2013            8        -0.613
2013            9        -0.127
2013           10         0.045
2013           11        -1.911
2013           12        -0.268
2014            1        -0.272
2014            2        -1.228
2014            3        -0.792
2014            4        -1.811
2014            5        -0.424
2014            6        -1.366
2014            7         0.597
2014            8         1.476
2014            9        -0.865
2014           10         0.540
2014           11        -0.961
2014           12        -0.701
2015            1         0.014
2015            2        -0.585
2015            3         0.266
2015            4         1.242
2015            5        -0.009
2015            6        -1.493
2015            7        -0.432
2015            8         0.997
2015            9         0.233
2015           10        -0.573
2015           11        -2.644
2015           12        -0.217
2016            1        -0.291
2016            2        -2.005
2016            3        -1.074
2016            4        -0.489
2016            5         1.161
2016            6        -2.364
2016            7         1.221
2016            8         0.077
2016            9         0.281
2016           10         1.127
2016           11         1.215
2016           12         0.449
2017            1         0.958
2017            2         0.993
2017            3        -1.007
2017            4        -1.221
2017            5        -1.241
2017            6        -0.917
2017            7        -0.657
2017            8        -0.763
2017            9        -0.334
2017           10        -0.867
2017           11        -0.156
2017           12         0.781
2018            1        -0.113
2018            2        -0.495
2018            3        -1.622
2018            4        -0.521
2018            5         0.614
2018            6        -1.540
2018            7        -0.792
2018            8        -0.468
2018            9        -1.062
2018           10        -0.687
2018           11         0.364
2018           12        -1.493
2019            1        -1.256
2019            2         0.148
2019            3        -1.680
2019            4        -1.085
2019            5        -0.922
2019            6        -1.783
2019            7        -2.207
2019            8         0.598
2019            9        -0.326
2019           10        -0.324
2019           11         0.301
2019           12        -1.465
