Year          Month         NINO3.4 (std)
1967              5           -0.728
1967              6           -0.186
1967              7           -0.298
1967              8           -0.517
1967              9           -0.995
1967             10           -0.672
1967             11           -0.475
1967             12           -0.495
1968              1           -0.746
1968              2           -1.090
1968              3           -1.231
1968              4           -1.001
1968              5           -0.981
1968              6            0.451
1968              7            0.567
1968              8            0.232
1968              9           -0.000
1968             10            0.077
1968             11            0.501
1968             12            0.576
1969              1            0.815
1969              2            1.152
1969              3            0.807
1969              4            0.689
1969              5            0.760
1969              6            0.155
1969              7           -0.142
1969              8            0.232
1969              9            0.481
1969             10            0.643
1969             11            0.414
1969             12            0.332
1970              1            0.234
1970              2            0.216
1970              3           -0.137
1970              4            0.049
1970              5           -0.285
1970              6           -0.854
1970              7           -1.374
1970              8           -1.601
1970              9           -1.236
1970             10           -1.037
1970             11           -0.907
1970             12           -1.046
1971              1           -1.509
1971              2           -1.604
1971              3           -1.792
1971              4           -1.756
1971              5           -1.361
1971              6           -1.538
1971              7           -1.488
1971              8           -1.395
1971              9           -1.156
1971             10           -1.152
1971             11           -0.924
1971             12           -0.965
1972              1           -0.806
1972              2           -0.452
1972              3           -0.205
1972              4            0.295
1972              5            0.791
1972              6            0.917
1972              7            1.360
1972              8            1.433
1972              9            1.396
1972             10            1.527
1972             11            1.710
1972             12            1.727
1973              1            1.552
1973              2            1.244
1973              3            0.438
1973              4           -0.771
1973              5           -1.345
1973              6           -1.616
1973              7           -2.012
1973              8           -2.079
1973              9           -1.899
1973             10           -1.863
1973             11           -1.986
1973             12           -1.808
1974              1           -1.812
1974              2           -1.697
1974              3           -1.915
1974              4           -2.051
1974              5           -1.851
1974              6           -1.647
1974              7           -1.105
1974              8           -0.646
1974              9           -0.744
1974             10           -0.864
1974             11           -0.881
1974             12           -0.762
1975              1           -0.399
1975              2           -0.689
1975              3           -1.436
1975              4           -1.395
1975              5           -1.598
1975              6           -2.113
1975              7           -1.814
1975              8           -1.937
1975              9           -1.911
1975             10           -1.719
1975             11           -1.364
1975             12           -1.532
1976              1           -1.743
1976              2           -1.285
1976              3           -1.067
1976              4           -1.346
1976              5           -0.965
1976              6           -0.373
1976              7           -0.071
1976              8            0.181
1976              9            0.332
1976             10            0.759
1976             11            0.682
1976             12            0.430
1977              1            0.668
1977              2            0.391
1977              3            0.328
1977              4           -0.443
1977              5           -0.142
1977              6            0.233
1977              7            0.283
1977              8            0.013
1977              9            0.446
1977             10            0.643
1977             11            0.484
1977             12            0.592
1978              1            0.529
1978              2            0.267
1978              3           -0.205
1978              4           -0.968
1978              5           -0.965
1978              6           -0.885
1978              7           -0.623
1978              8           -0.994
1978              9           -0.824
1978             10           -0.403
1978             11           -0.259
1978             12           -0.016
1979              1           -0.121
1979              2           -0.216
1979              3            0.041
1979              4            0.213
1979              5           -0.190
1979              6           -0.249
1979              7           -0.510
1979              8           -0.103
1979              9            0.309
1979             10            0.154
1979             11            0.311
1979             12            0.446
1980              1            0.460
1980              2            0.237
1980              3            0.109
1980              4            0.066
1980              5            0.316
1980              6            0.544
1980              7            0.071
1980              8           -0.465
1980              9           -0.332
1980             10           -0.202
1980             11           -0.026
1980             12            0.065
1981              1           -0.321
1981              2           -0.648
1981              3           -0.807
1981              4           -0.689
1981              5           -0.712
1981              6           -0.497
1981              7           -0.751
1981              8           -0.659
1981              9           -0.229
1981             10           -0.240
1981             11           -0.285
1981             12           -0.130
1982              1            0.104
1982              2           -0.165
1982              3            0.246
1982              4            0.525
1982              5            0.902
1982              6            1.041
1982              7            0.680
1982              8            0.969
1982              9            1.693
1982             10            1.949
1982             11            1.718
1982             12            1.816
1983              1            2.029
1983              2            2.005
1983              3            1.956
1983              4            1.740
1983              5            1.630
1983              6            1.056
1983              7            0.000
1983              8           -0.323
1983              9           -0.606
1983             10           -1.066
1983             11           -1.053
1983             12           -0.803
1984              1           -0.590
1984              2           -0.185
1984              3           -0.643
1984              4           -0.935
1984              5           -0.965
1984              6           -1.181
1984              7           -0.553
1984              8           -0.284
1984              9           -0.400
1984             10           -0.605
1984             11           -0.958
1984             12           -1.062
1985              1           -1.015
1985              2           -0.730
1985              3           -1.012
1985              4           -1.756
1985              5           -1.440
1985              6           -1.212
1985              7           -0.879
1985              8           -0.697
1985              9           -0.812
1985             10           -0.423
1985             11           -0.259
1985             12           -0.300
1986              1           -0.581
1986              2           -0.720
1986              3           -0.506
1986              4           -0.361
1986              5           -0.649
1986              6           -0.264
1986              7           -0.000
1986              8            0.439
1986              9            0.595
1986             10            0.816
1986             11            0.941
1986             12            0.940
1987              1            0.980
1987              2            1.172
1987              3            1.409
1987              4            1.116
1987              5            1.171
1987              6            1.647
1987              7            1.998
1987              8            2.053
1987              9            1.877
1987             10            1.229
1987             11            0.993
1987             12            0.795
1988              1            0.780
1988              2            0.298
1988              3            0.205
1988              4           -0.542
1988              5           -1.788
1988              6           -2.486
1988              7           -2.295
1988              8           -1.511
1988              9           -1.156
1988             10           -1.777
1988             11           -1.701
1988             12           -1.565
1989              1           -1.708
1989              2           -1.501
1989              3           -1.586
1989              4           -1.592
1989              5           -1.187
1989              6           -0.699
1989              7           -0.652
1989              8           -0.659
1989              9           -0.355
1989             10           -0.346
1989             11           -0.319
1989             12           -0.081
1990              1            0.009
1990              2            0.226
1990              3            0.123
1990              4            0.312
1990              5            0.332
1990              6            0.078
1990              7            0.283
1990              8            0.310
1990              9            0.240
1990             10            0.250
1990             11            0.155
1990             12            0.316
1991              1            0.416
1991              2            0.339
1991              3            0.109
1991              4            0.492
1991              5            0.617
1991              6            1.010
1991              7            1.247
1991              8            0.904
1991              9            0.469
1991             10            0.864
1991             11            1.097
1991             12            1.403
1992              1            1.587
1992              2            1.841
1992              3            1.956
1992              4            2.150
1992              5            1.836
1992              6            1.103
1992              7            0.482
1992              8            0.090
1992              9           -0.080
1992             10           -0.240
1992             11           -0.181
1992             12           -0.097
1993              1            0.121
1993              2            0.432
1993              3            0.602
1993              4            1.149
1993              5            1.424
1993              6            0.761
1993              7            0.482
1993              8            0.194
1993              9            0.389
1993             10            0.096
1993             11            0.069
1993             12            0.162
1994              1            0.078
1994              2            0.072
1994              3            0.205
1994              4            0.607
1994              5            0.680
1994              6            0.699
1994              7            0.510
1994              8            0.710
1994              9            0.538
1994             10            0.768
1994             11            1.028
1994             12            1.046
1995              1            0.884
1995              2            0.761
1995              3            0.697
1995              4            0.640
1995              5            0.016
1995              6           -0.016
1995              7           -0.142
1995              8           -0.788
1995              9           -0.961
1995             10           -0.797
1995             11           -0.889
1995             12           -0.738
1996              1           -0.746
1996              2           -0.874
1996              3           -0.766
1996              4           -0.591
1996              5           -0.411
1996              6           -0.466
1996              7           -0.468
1996              8           -0.258
1996              9           -0.526
1996             10           -0.384
1996             11           -0.294
1996             12           -0.495
1997              1           -0.468
1997              2           -0.370
1997              3           -0.274
1997              4            0.443
1997              5            1.218
1997              6            1.911
1997              7            2.380
1997              8            2.467
1997              9            2.426
1997             10            2.314
1997             11            2.150
1997             12            1.889
1998              1            2.055
1998              2            2.098
1998              3            1.901
1998              4            1.461
1998              5            1.108
1998              6           -0.404
1998              7           -1.247
1998              8           -1.627
1998              9           -1.453
1998             10           -1.364
1998             11           -1.200
1998             12           -1.338
1999              1           -1.474
1999              2           -1.347
1999              3           -1.244
1999              4           -1.658
1999              5           -1.614
1999              6           -1.647
1999              7           -1.488
1999              8           -1.550
1999              9           -1.259
1999             10           -1.143
1999             11           -1.304
1999             12           -1.378
2000              1           -1.535
2000              2           -1.584
2000              3           -1.286
2000              4           -1.247
2000              5           -1.171
2000              6           -1.010
2000              7           -0.779
2000              8           -0.607
2000              9           -0.606
2000             10           -0.624
2000             11           -0.613
2000             12           -0.713
2001              1           -0.642
2001              2           -0.638
2001              3           -0.588
2001              4           -0.624
2001              5           -0.332
2001              6           -0.078
2001              7            0.099
2001              8           -0.039
2001              9           -0.240
2001             10           -0.096
2001             11           -0.250
2001             12           -0.300
2002              1           -0.139
2002              2           -0.031
2002              3            0.068
2002              4            0.213
2002              5            0.680
2002              6            1.320
2002              7            1.219
2002              8            1.149
2002              9            1.236
2002             10            1.239
2002             11            1.330
2002             12            1.143
2003              1            0.520
2003              2            0.668
2003              3            0.561
2003              4           -0.049
2003              5           -0.775
2003              6           -0.233
2003              7            0.453
2003              8            0.362
2003              9            0.297
2003             10            0.451
2003             11            0.354
2003             12            0.381
2004              1            0.225
2004              2            0.247
2004              3            0.232
2004              4            0.295
2004              5            0.285
2004              6            0.419
2004              7            0.850
2004              8            1.007
2004              9            0.915
2004             10            0.739
2004             11            0.630
2004             12            0.632
2005              1            0.572
2005              2            0.380
2005              3            0.670
2005              4            0.607
2005              5            0.665
2005              6            0.280
2005              7           -0.170
2005              8           -0.039
2005              9           -0.046
2005             10           -0.019
2005             11           -0.440
2005             12           -0.722
2006              1           -0.798
2006              2           -0.679
2006              3           -0.903
2006              4           -0.345
2006              5            0.063
2006              6            0.217
2006              7            0.170
2006              8            0.426
2006              9            0.675
2006             10            0.711
2006             11            0.915
2006             12            0.957
2007              1            0.598
2007              2            0.144
2007              3           -0.178
2007              4           -0.345
2007              5           -0.554
2007              6           -0.342
2007              7           -0.666
2007              8           -0.904
2007              9           -1.282
2007             10           -1.296
2007             11           -1.261
2007             12           -1.257
2008              1           -1.465
2008              2           -1.707
2008              3           -1.586
2008              4           -1.444
2008              5           -1.139
2008              6           -0.854
2008              7           -0.269
2008              8           -0.142
2008              9           -0.297
2008             10           -0.298
2008             11           -0.328
2008             12           -0.665
2009              1           -0.780
2009              2           -0.802
2009              3           -0.889
2009              4           -0.394
2009              5            0.285
2009              6            0.699
2009              7            0.850
2009              8            0.749
2009              9            0.767
2009             10            0.893
2009             11            1.321
2009             12            1.443
2010              1            1.309
2010              2            1.296
2010              3            1.299
2010              4            0.804
2010              5           -0.158
2010              6           -0.854
2010              7           -1.360
2010              8           -1.769
2010              9           -1.842
2010             10           -1.575
2010             11           -1.356
2010             12           -1.273
2011              1           -1.344
2011              2           -1.131
2011              3           -1.203
2011              4           -1.083
2011              5           -0.633
2011              6           -0.373
2011              7           -0.439
2011              8           -0.814
2011              9           -0.927
2011             10           -0.970
2011             11           -0.958
2011             12           -0.827
2012              1           -0.763
2012              2           -0.679
2012              3           -0.780
2012              4           -0.640
2012              5           -0.316
2012              6            0.249
2012              7            0.510
2012              8            0.633
2012              9            0.435
2012             10            0.298
2012             11            0.199
2012             12           -0.178
2013              1           -0.468
2013              2           -0.524
2013              3           -0.287
2013              4           -0.230
2013              5           -0.443
2013              6           -0.451
2013              7           -0.383
2013              8           -0.465
2013              9           -0.217
2013             10           -0.154
2013             11           -0.060
2013             12           -0.105
2014              1           -0.434
2014              2           -0.627
2014              3           -0.315
2014              4            0.312
2014              5            0.696
2014              6            0.575
2014              7            0.071
2014              8           -0.013
2014              9            0.320
2014             10            0.461
2014             11            0.717
2014             12            0.608
2015              1            0.434
2015              2            0.442
2015              3            0.711
2015              4            1.329
2015              5            1.646
2015              6            2.035
2015              7            2.225
2015              8            2.518
2015              9            2.517
2015             10            2.314
2015             11            2.418
2015             12            2.189
2016              1            2.220
2016              2            2.334
2016              3            2.284
2016              4            1.658
2016              5            0.665
2016              6            0.155
2016              7           -0.510
2016              8           -0.723
2016              9           -0.664
2016             10           -0.663
2016             11           -0.587
2016             12           -0.381
2017              1           -0.382
2017              2           -0.072
2017              3            0.109
2017              4            0.525
2017              5            0.775
2017              6            0.730
2017              7            0.524
2017              8           -0.181
2017              9           -0.492
2017             10           -0.499
2017             11           -0.769
2017             12           -0.770
2018              1           -0.850
2018              2           -0.792
2018              3           -1.026
2018              4           -0.656
2018              5           -0.127
2018              6            0.295
2018              7            0.340
2018              8            0.142
2018              9            0.538
2018             10            0.912
2018             11            0.872
2018             12            0.754
2019              1            0.555
2019              2            0.740
2019              3            1.162
2019              4            1.198
2019              5            1.060
2019              6            0.917
2019              7            0.666
2019              8            0.077
2019              9            0.023
2019             10            0.509
2019             11            0.518
2019             12            0.446
