Year        Month      NPMM Index (std)
1973            4        -0.372
1973            5        -0.992
1973            6         0.379
1973            7         0.063
1973            8        -0.789
1973            9        -0.936
1973           10        -0.425
1973           11         0.510
1973           12         0.360
1974            1         2.233
1974            2        -0.653
1974            3         2.200
1974            4        -0.410
1974            5        -0.295
1974            6         0.986
1974            7         0.672
1974            8         1.996
1974            9         1.140
1974           10         0.033
1974           11        -0.958
1974           12        -0.736
1975            1        -0.927
1975            2        -0.294
1975            3        -0.994
1975            4        -1.148
1975            5        -0.052
1975            6         0.015
1975            7         0.147
1975            8        -1.189
1975            9        -0.791
1975           10        -1.437
1975           11        -0.022
1975           12         0.706
1976            1         0.365
1976            2        -0.465
1976            3        -0.343
1976            4        -0.663
1976            5        -0.536
1976            6         2.742
1976            7        -0.319
1976            8        -0.418
1976            9         0.908
1976           10         0.103
1976           11         0.494
1976           12         0.069
1977            1         1.424
1977            2         0.151
1977            3        -1.522
1977            4        -0.208
1977            5        -0.297
1977            6         0.954
1977            7        -1.089
1977            8         0.405
1977            9         0.320
1977           10        -0.625
1977           11         0.587
1977           12         0.291
1978            1         0.424
1978            2         0.916
1978            3         0.425
1978            4         0.658
1978            5        -0.760
1978            6        -0.457
1978            7         0.605
1978            8         0.168
1978            9        -0.622
1978           10         0.632
1978           11         1.063
1978           12        -1.229
1979            1        -1.243
1979            2        -0.960
1979            3         0.733
1979            4         0.796
1979            5        -0.016
1979            6        -1.996
1979            7         1.038
1979            8         2.235
1979            9        -0.720
1979           10         0.842
1979           11        -0.402
1979           12         0.546
1980            1         1.967
1980            2         1.772
1980            3        -1.315
1980            4        -0.930
1980            5        -1.174
1980            6        -1.473
1980            7         0.139
1980            8         0.273
1980            9         0.510
1980           10        -0.795
1980           11         0.673
1980           12         3.097
1981            1         1.580
1981            2         0.565
1981            3        -0.260
1981            4         0.255
1981            5         0.813
1981            6         1.258
1981            7        -0.203
1981            8         1.401
1981            9        -0.282
1981           10         0.535
1981           11        -0.558
1981           12         0.217
1982            1         0.346
1982            2         1.612
1982            3        -1.096
1982            4         0.874
1982            5        -0.097
1982            6         1.774
1982            7         1.510
1982            8         0.079
1982            9         0.466
1982           10         1.527
1982           11         0.353
1982           12        -0.796
1983            1         0.520
1983            2         1.100
1983            3         1.267
1983            4        -0.780
1983            5        -1.043
1983            6        -0.064
1983            7        -1.295
1983            8        -0.900
1983            9        -0.502
1983           10        -0.963
1983           11         0.948
1983           12         1.853
1984            1         0.405
1984            2        -0.446
1984            3         1.224
1984            4        -0.410
1984            5         0.045
1984            6         0.582
1984            7         2.046
1984            8         1.179
1984            9         0.215
1984           10         1.127
1984           11        -0.472
1984           12        -0.310
1985            1         1.231
1985            2        -0.368
1985            3        -1.760
1985            4         0.685
1985            5        -0.734
1985            6         1.370
1985            7         1.280
1985            8         0.280
1985            9         0.549
1985           10         0.417
1985           11         1.746
1985           12         1.197
1986            1         0.370
1986            2         2.644
1986            3         0.864
1986            4         0.269
1986            5         0.794
1986            6        -0.697
1986            7         1.501
1986            8         1.716
1986            9         1.619
1986           10         0.650
1986           11        -0.692
1986           12        -0.137
1987            1        -1.487
1987            2         0.304
1987            3         0.312
1987            4        -0.189
1987            5        -0.153
1987            6        -0.895
1987            7         1.043
1987            8         0.959
1987            9         0.363
1987           10        -0.525
1987           11        -1.298
1987           12        -1.082
1988            1        -0.929
1988            2         0.093
1988            3        -0.618
1988            4         0.044
1988            5        -0.607
1988            6         1.347
1988            7         0.528
1988            8         1.187
1988            9        -0.036
1988           10         0.787
1988           11         0.404
1988           12         0.548
1989            1        -1.295
1989            2         0.307
1989            3         1.649
1989            4         0.170
1989            5        -0.301
1989            6         0.405
1989            7        -1.328
1989            8        -0.212
1989            9        -0.446
1989           10         0.114
1989           11         0.667
1989           12         1.653
1990            1        -1.628
1990            2        -1.010
1990            3        -0.044
1990            4         1.719
1990            5        -1.448
1990            6        -0.657
1990            7        -0.026
1990            8        -0.656
1990            9        -0.070
1990           10        -0.014
1990           11         0.205
1990           12        -0.070
1991            1         0.551
1991            2         1.416
1991            3        -1.483
1991            4        -0.520
1991            5        -0.958
1991            6         0.729
1991            7         1.173
1991            8         0.170
1991            9         1.145
1991           10         2.088
1991           11         0.847
1991           12        -1.205
1992            1         0.236
1992            2         0.498
1992            3        -0.477
1992            4         2.130
1992            5         2.859
1992            6        -0.087
1992            7         0.484
1992            8        -0.176
1992            9         1.514
1992           10        -0.061
1992           11         0.819
1992           12        -0.832
1993            1         0.482
1993            2         0.643
1993            3         0.358
1993            4         0.520
1993            5         0.203
1993            6         0.468
1993            7         0.500
1993            8         1.268
1993            9         0.732
1993           10         0.805
1993           11        -0.959
1993           12        -1.023
1994            1        -0.553
1994            2        -0.356
1994            3        -0.317
1994            4        -0.048
1994            5        -1.232
1994            6        -1.072
1994            7        -0.632
1994            8         0.016
1994            9         1.855
1994           10         1.302
1994           11        -0.474
1994           12        -1.190
1995            1         0.393
1995            2         1.761
1995            3         1.786
1995            4        -0.136
1995            5         0.025
1995            6         1.327
1995            7         0.321
1995            8        -2.152
1995            9         0.673
1995           10        -1.026
1995           11         1.885
1995           12         2.025
1996            1         0.685
1996            2         0.216
1996            3         1.220
1996            4         1.118
1996            5         0.976
1996            6         0.004
1996            7        -0.836
1996            8         1.070
1996            9         0.894
1996           10         0.015
1996           11         0.947
1996           12         0.886
1997            1         1.637
1997            2        -0.108
1997            3         0.513
1997            4         1.942
1997            5         1.282
1997            6         0.098
1997            7        -0.378
1997            8         0.965
1997            9         0.094
1997           10         0.149
1997           11        -0.988
1997           12        -1.339
1998            1         0.793
1998            2        -0.189
1998            3         0.338
1998            4        -1.895
1998            5        -2.361
1998            6        -0.543
1998            7        -0.456
1998            8        -0.970
1998            9        -0.485
1998           10        -1.195
1998           11        -1.100
1998           12        -0.601
1999            1        -0.525
1999            2        -0.897
1999            3        -1.430
1999            4        -0.479
1999            5         0.811
1999            6         0.061
1999            7        -1.144
1999            8        -0.443
1999            9        -0.750
1999           10        -0.702
1999           11        -0.972
1999           12         0.839
2000            1        -1.012
2000            2         0.174
2000            3         0.304
2000            4        -0.773
2000            5         0.609
2000            6         0.206
2000            7         0.163
2000            8        -0.382
2000            9         1.930
2000           10        -1.230
2000           11        -0.195
2000           12         0.498
2001            1        -0.211
2001            2        -1.006
2001            3         0.462
2001            4        -0.981
2001            5         0.333
2001            6        -0.214
2001            7         0.235
2001            8        -2.054
2001            9        -1.518
2001           10        -1.162
2001           11         0.530
2001           12        -0.766
2002            1        -0.512
2002            2        -0.945
2002            3        -0.445
2002            4         1.603
2002            5        -0.120
2002            6        -0.982
2002            7         0.831
2002            8         0.090
2002            9        -0.508
2002           10         0.726
2002           11         0.160
2002           12        -1.120
2003            1         1.388
2003            2        -0.510
2003            3         0.448
2003            4        -0.908
2003            5        -1.316
2003            6         0.451
2003            7        -1.601
2003            8        -0.568
2003            9         0.269
2003           10         0.092
2003           11        -1.296
2003           12        -0.822
2004            1         0.937
2004            2         0.299
2004            3        -1.061
2004            4        -0.339
2004            5         0.372
2004            6        -1.371
2004            7         0.612
2004            8         0.430
2004            9        -1.493
2004           10        -0.511
2004           11        -0.439
2004           12        -0.059
2005            1         1.042
2005            2        -1.311
2005            3         0.619
2005            4        -0.603
2005            5         0.218
2005            6        -1.169
2005            7        -2.292
2005            8         0.782
2005            9        -1.808
2005           10        -2.242
2005           11         1.062
2005           12         1.242
2006            1        -1.678
2006            2        -0.969
2006            3         0.003
2006            4        -1.530
2006            5        -0.398
2006            6        -0.830
2006            7        -0.256
2006            8        -0.457
2006            9        -0.850
2006           10         1.123
2006           11         0.664
2006           12        -0.879
2007            1        -1.254
2007            2        -0.533
2007            3         0.724
2007            4         0.000
2007            5         0.159
2007            6        -1.998
2007            7        -0.370
2007            8        -1.030
2007            9        -1.210
2007           10        -1.221
2007           11         0.496
2007           12        -0.921
2008            1        -1.715
2008            2        -0.036
2008            3         0.058
2008            4        -0.519
2008            5         0.821
2008            6        -0.304
2008            7        -0.873
2008            8        -1.101
2008            9        -0.464
2008           10        -1.271
2008           11        -0.304
2008           12         0.336
2009            1        -0.225
2009            2        -2.168
2009            3        -0.842
2009            4         0.415
2009            5         1.129
2009            6         2.103
2009            7        -0.310
2009            8         0.849
2009            9        -1.420
2009           10         0.926
2009           11        -2.778
2009           12         1.010
2010            1         0.429
2010            2        -0.782
2010            3        -2.319
2010            4        -1.636
2010            5        -0.681
2010            6        -1.297
2010            7        -0.227
2010            8        -1.341
2010            9        -0.476
2010           10        -0.260
2010           11         0.792
2010           12         0.849
2011            1         0.840
2011            2         0.246
2011            3        -0.439
2011            4         1.203
2011            5        -1.340
2011            6        -2.111
2011            7        -1.416
2011            8        -0.962
2011            9        -1.136
2011           10        -0.461
2011           11        -1.055
2011           12        -0.954
2012            1         0.415
2012            2        -0.278
2012            3        -1.667
2012            4         0.736
2012            5        -1.300
2012            6        -0.867
2012            7        -2.618
2012            8        -1.753
2012            9        -1.647
2012           10         1.950
2012           11         0.310
2012           12        -0.478
2013            1        -0.935
2013            2        -2.155
2013            3         0.141
2013            4         2.158
2013            5         0.080
2013            6        -1.757
2013            7         1.163
2013            8         0.590
2013            9        -1.146
2013           10         1.336
2013           11         0.122
2013           12         0.093
2014            1         0.484
2014            2        -0.027
2014            3         0.224
2014            4        -0.405
2014            5         1.142
2014            6        -0.284
2014            7         2.014
2014            8         2.750
2014            9         0.776
2014           10         0.908
2014           11         0.617
2014           12        -0.459
2015            1         0.899
2015            2         1.736
2015            3        -0.491
2015            4        -0.521
2015            5        -0.614
2015            6         0.768
2015            7         3.439
2015            8         3.557
2015            9         2.317
2015           10         1.567
2015           11        -2.356
2015           12        -1.743
2016            1        -0.129
2016            2        -0.677
2016            3         0.480
2016            4        -0.450
2016            5        -0.832
2016            6        -0.340
2016            7         0.150
2016            8         0.587
2016            9         0.003
2016           10        -0.934
2016           11        -0.894
2016           12        -0.906
2017            1        -0.675
2017            2         0.674
2017            3         1.194
2017            4         0.714
2017            5        -0.794
2017            6        -0.324
2017            7        -0.660
2017            8        -0.042
2017            9         1.077
2017           10        -0.062
2017           11        -0.112
2017           12         0.218
2018            1        -0.651
2018            2        -0.143
2018            3         0.053
2018            4         0.935
2018            5        -0.489
2018            6         2.098
2018            7        -1.067
2018            8         0.582
2018            9         1.499
2018           10         1.972
2018           11         0.132
2018           12        -1.424
2019            1        -0.558
2019            2        -1.428
2019            3        -0.535
2019            4         0.486
2019            5         0.846
2019            6         1.226
2019            7         0.965
2019            8         1.243
2019            9         1.876
2019           10         1.172
2019           11         0.984
2019           12        -0.690
